"yr" "seas" "gender" "growpattern" "birthseas" "fleet" "age0" "age1" "age2" "age3" "age4" "age5" "age6" "age7" "age8" "age9" "age10" "age11" "age12" "age13" "age14" "age15" "age16" "age17" "age18" "age19" "age20" "age21" "age22" "age23" "age24" "age25"
"38" 38 1 1 1 1 1 0.0311902 0.261750355030615 1.18734513362307 2.71944224608469 4.68205107141617 6.91534640326313 9.13090812464893 11.1870070872211 13.604799046966 15.083086887971 16.9937182610358 18.1278323161889 19.1712429673353 20.6470972213243 21.3036827615758 22.114862003485 23.0818826828702 22.7627416073697 23.3460265076616 NA NA NA NA NA 25.119404801398 24.7576417560604
"39" 39 1 1 1 1 1 0.0311902 0.270590155904913 1.18883021099142 2.7216757995981 4.72250807950799 6.92653779274942 9.1507591357489 11.3838414078333 13.4574487798599 15.2426692538197 16.9083259858407 17.9759373664524 19.5363493389605 20.558264199627 21.2362268191406 22.0730937156001 22.6971872039991 23.4030964214727 23.948619854579 24.2314519121166 NA NA 24.6254391787668 NA 25.5025997969487 25.4285424810063
"40" 40 1 1 1 1 1 0.0311902 0.27368725367433 1.1889737079822 2.70986885411191 4.71024387866927 6.90624506046828 9.13181135371582 11.2839041922671 13.4038839011493 15.2453269202117 17.1096264087575 18.5021822110992 19.2537496938788 20.654271460528 21.2531010200357 21.5835772184843 22.2928567203099 24.0526736566978 23.6746504997387 24.8464631218884 25.0662935970241 23.5731647966602 NA NA NA 25.2387377518269
"41" 41 1 1 1 1 1 0.0311902 0.27185893602792 1.18704497778799 2.71770133788546 4.6775655720266 6.90880918437828 9.13166548747921 11.378776740691 13.3800219595689 15.1398066240249 16.7214438272868 18.4337355624936 19.4957731535949 20.494473996526 21.6121705776597 NA 22.7765002518232 23.2312384094456 23.9823547142028 23.4507559461138 NA NA 24.2154028480693 25.5736302165964 NA NA
"42" 42 1 1 1 1 1 0.0311902 0.263228903106512 1.18980995052364 2.72790796838723 4.70675500407132 6.89581229033155 9.17125051395558 11.2759868919511 13.3946667514093 15.2185807897358 16.6989478902103 18.2630491916554 19.2336945964978 20.4568338167136 21.0154586530854 21.6109877329875 NA 22.1418987926868 NA 23.9463940516029 24.240114542689 23.9281337917141 24.550420749932 NA NA 23.9163375066159
"43" 43 1 1 1 1 1 0.0311902 0.262753116871619 1.18473272564853 2.73320437354889 4.69321430256863 6.94990871506825 9.15250944497485 11.2800593086377 13.4299164354635 15.124637399401 16.7980899156033 18.1928128976875 19.6633483381814 20.7358199753112 21.3143081710775 21.4512013529626 23.2025394937261 22.9651967112411 23.8478850613946 23.6454569809877 NA NA 23.4239704701113 NA 23.7556848753638 24.6782462180086
"44" 44 1 1 1 1 1 0.0311902 0.269568244342723 1.18480332260787 2.72117065868174 4.7061355722082 6.89974090384825 9.12553288875846 11.3531863868189 13.3294073771441 14.8790891319292 16.7685866341767 18.4833478869241 19.6040621634501 20.2029847679769 21.3219505270182 NA 22.79452716799 23.2462027437686 23.9500827777026 23.2695110027357 24.5422087714874 NA 25.3063208824211 NA NA 24.3533536744447
"45" 45 1 1 1 1 1 0.0311902 0.27334129476 1.18912699509686 2.71263273729872 4.72676683658074 6.94098053072686 9.17677259226572 11.2808343078895 13.4305433146734 15.0846765386861 16.7908077845031 18.4155181980521 19.3217033172572 20.3487489754303 21.4806065968063 22.1839946028469 NA 23.8074682584013 NA 24.2164771049227 NA 23.9324485230983 NA 24.924177546542 24.4564274017163 25.8392557218136
"46" 46 1 1 1 1 1 0.0311902 0.267240457515126 1.188198914944 2.73091491059976 4.72907899519827 6.94690550306104 9.1258373540716 11.3936250600238 13.4405841720629 15.0643042923006 16.6929941634247 18.2499896541422 18.945497489569 20.3869420111782 21.4672273432463 21.9473440327897 22.5824980065618 22.4012744396444 24.2921756450559 24.1553559995935 NA 24.5728172276203 24.1860551209028 NA NA 24.9221313548536
"47" 47 1 1 1 1 1 0.0311902 0.267231771527527 1.18105482294775 2.71673908707329 4.71883541728137 6.92994138910996 9.1591728642877 11.1929519095216 13.4630311096158 15.2263265876249 16.8101828260366 18.3406311829489 19.3631947879717 20.6616190886384 21.5315994936383 22.0961724216727 22.2266945293053 23.4760709468592 NA NA 24.2436271374558 24.2802772641889 24.3343212577954 26.5203446374762 NA NA
